Date Start,Alberta,Alberta Duration,BC,BC Duration,Manitoba,Manitoba Duration,New Brunswick,New Brunswick Duration,Nova Scotia,Nova Scotia Duration,Ontario,Ontario Duration,Quebec,Quebec Duration,National,National Duration
1/22/2020,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
1/23/2020,0,2,0,2,0,2,1,2,0,2,0,2,0,2,0,2
1/24/2020,0,3,0,3,0,3,1,3,0,3,0,3,0,3,0,3
1/25/2020,0,4,0,4,0,4,1,4,0,4,0,4,0,4,0,4
1/26/2020,0,5,0,5,0,5,1,5,0,5,0,5,0,5,0,5
1/27/2020,0,6,0,6,0,6,1,6,0,6,0,6,0,6,0,6
1/28/2020,0,7,0,7,0,7,1,7,0,7,0,7,0,7,0,7
1/29/2020,0,8,0,8,0,8,1,8,0,8,0,8,0,8,0,8
1/30/2020,0,9,0,9,0,9,1,9,0,9,0,9,0,9,0,9
1/31/2020,0,10,0,10,0,10,1,10,0,10,0,10,0,10,0,10
2/1/2020,0,11,0,11,0,11,1,11,0,11,0,11,0,11,0,11
2/2/2020,0,12,0,12,0,12,1,12,0,12,0,12,0,12,0,12
2/3/2020,0,13,0,13,0,13,1,13,0,13,0,13,0,13,0,13
2/4/2020,0,14,0,14,0,14,1,14,0,14,0,14,0,14,0,14
2/5/2020,0,15,0,15,0,15,1,15,0,15,0,15,0,15,0,15
2/6/2020,0,16,0,16,0,16,1,16,0,16,0,16,0,16,0,16
2/7/2020,0,17,0,17,0,17,1,17,0,17,0,17,0,17,0,17
2/8/2020,0,18,0,18,0,18,1,18,0,18,0,18,0,18,0,18
2/9/2020,0,19,0,19,0,19,1,19,0,19,0,19,0,19,0,19
2/10/2020,0,20,0,20,0,20,1,20,0,20,0,20,0,20,0,20
2/11/2020,0,21,0,21,0,21,1,21,0,21,0,21,0,21,0,21
2/12/2020,0,22,0,22,0,22,1,22,0,22,0,22,0,22,0,22
2/13/2020,0,23,0,23,0,23,1,23,0,23,0,23,0,23,0,23
2/14/2020,0,24,0,24,0,24,1,24,0,24,0,24,0,24,0,24
2/15/2020,0,25,0,25,0,25,1,25,0,25,0,25,0,25,0,25
2/16/2020,0,26,0,26,0,26,1,26,0,26,0,26,0,26,0,26
2/17/2020,0,27,0,27,0,27,1,27,0,27,0,27,0,27,0,27
2/18/2020,0,28,0,28,0,28,1,28,0,28,0,28,0,28,0,28
2/19/2020,0,29,0,29,0,29,1,29,0,29,0,29,0,29,0,29
2/20/2020,0,30,0,30,0,30,1,30,0,30,0,30,0,30,0,30
2/21/2020,0,31,0,31,0,31,1,31,0,31,0,31,0,31,0,31
2/22/2020,0,32,0,32,0,32,1,32,0,32,0,32,0,32,0,32
2/23/2020,0,33,0,33,0,33,1,33,0,33,0,33,0,33,0,33
2/24/2020,0,34,0,34,0,34,1,34,0,34,0,34,0,34,0,34
2/25/2020,0,35,0,35,0,35,1,35,0,35,0,35,0,35,0,35
2/26/2020,0,36,0,36,0,36,1,36,0,36,0,36,0,36,0,36
2/27/2020,0,37,0,37,0,37,1,37,0,37,0,37,0,37,0,37
2/28/2020,0,38,0,38,0,38,1,38,0,38,0,38,0,38,0,38
2/29/2020,0,39,0,39,0,39,1,39,0,39,0,39,0,39,0,39
3/1/2020,0,40,0,40,0,40,1,40,0,40,0,40,0,40,0,40
3/2/2020,0,41,0,41,0,41,1,41,0,41,0,41,0,41,0,41
3/3/2020,0,42,0,42,0,42,1,42,0,42,0,42,0,42,0,42
3/4/2020,0,43,0,43,0,43,1,43,0,43,0,43,0,43,0,43
3/5/2020,0,44,0,44,0,44,1,44,0,44,0,44,0,44,0,44
3/6/2020,0,45,0,45,0,45,1,45,0,45,0,45,0,45,0,45
3/7/2020,0,46,0,46,0,46,1,46,0,46,0,46,0,46,0,46
3/8/2020,0,47,0,47,0,47,1,47,0,47,0,47,0,47,0,47
3/9/2020,0,48,0,48,0,48,1,48,0,48,0,48,0,48,0,48
3/10/2020,0,49,0,49,0,49,1,49,0,49,0,49,0,49,0,49
3/11/2020,0,50,0,50,0,50,1,50,0,50,0,50,0,50,0,50
3/12/2020,0,51,0,51,0,51,1,51,0,51,1,1,0,51,0,51
3/13/2020,0,52,0,52,1,1,1,52,1,1,1,2,0,52,0,52
3/14/2020,0,53,0,53,1,2,1,53,1,2,1,3,2,1,0,53
3/15/2020,0,54,0,54,1,3,1,54,2,1,1,4,2,2,0,54
3/16/2020,0,55,0,55,1,4,1,55,2,2,1,5,2,3,1,1
3/17/2020,2,1,2,1,1,5,1,56,2,3,2,1,2,4,2,1
3/18/2020,2,2,2,2,1,6,1,57,2,4,2,2,2,5,2,2
3/19/2020,2,3,2,3,1,7,2,1,2,5,2,3,2,6,2,3
3/20/2020,2,4,2,4,1,8,2,2,2,6,2,4,2,7,2,4
3/21/2020,2,5,2,5,1,9,2,3,2,7,2,5,2,8,2,5
3/22/2020,2,6,2,6,1,10,2,4,2,8,2,6,2,9,2,6
3/23/2020,2,7,2,7,1,11,2,5,2,9,2,7,2,10,2,7
3/24/2020,2,8,2,8,1,12,2,6,2,10,2,8,2,11,2,8
3/25/2020,2,9,2,9,1,13,2,7,2,11,2,9,2,12,2,9
3/26/2020,2,10,2,10,1,14,2,8,2,12,2,10,2,13,2,10
3/27/2020,2,11,2,11,1,15,2,9,2,13,2,11,2,14,2,11
3/28/2020,2,12,2,12,1,16,2,10,2,14,2,12,2,15,2,12
3/29/2020,2,13,2,13,1,17,2,11,2,15,2,13,2,16,2,13
3/30/2020,2,14,2,14,1,18,2,12,2,16,2,14,2,17,2,14
3/31/2020,2,15,2,15,1,19,2,13,2,17,2,15,2,18,2,15
4/1/2020,2,16,2,16,1,20,2,14,2,18,2,16,2,19,2,16
4/2/2020,2,17,2,17,1,21,2,15,2,19,2,17,2,20,2,17
4/3/2020,2,18,2,18,1,22,2,16,2,20,2,18,2,21,2,18
4/4/2020,2,19,2,19,1,23,2,17,2,21,2,19,2,22,2,19
4/5/2020,2,20,2,20,1,24,2,18,2,22,2,20,2,23,2,20
4/6/2020,2,21,2,21,1,25,2,19,2,23,2,21,2,24,2,21
4/7/2020,2,22,2,22,1,26,2,20,2,24,2,22,2,25,2,22
