Country,Date Start,Keywords,Level,Duration
China,1/22/2020,,1,1
China,1/23/2020,,1,2
China,1/24/2020,,1,3
China,1/25/2020,,1,4
China,1/26/2020,,1,5
China,1/27/2020,,1,6
China,1/28/2020,,1,7
China,1/29/2020,,1,8
China,1/30/2020,,1,9
China,1/31/2020,,1,10
China,2/1/2020,waste water treatment,3,1
China,2/2/2020,public hygiene,3,2
China,2/3/2020,"cohort isolation, cruise ship",3,3
China,2/4/2020,economic stimulus,3,4
China,2/5/2020,diagnostic criteria loosened,3,5
China,2/6/2020,"deregulation, economic stimulus",3,6
China,2/7/2020,medical aid,3,7
China,2/8/2020,business suspension,3,8
China,2/9/2020,,3,9
China,2/10/2020,event cancellation,3,10
China,2/11/2020,economic stimulus,3,11
China,2/12/2020,"public transport limitation lifted, social distancing",3,12
China,2/13/2020,"blanket house confinement, compulsory isolation",3,13
China,2/14/2020,"contact tracing, phone based location tracing, public transport occupancy tracing",3,14
China,2/15/2020,"cash hygiene, public hygiene",3,15
China,2/16/2020,"economic stimulus, encouraging symptomatic people to seek tests, financial incentive, testing",3,16
China,2/17/2020,"domestic travel resumed, public transport resumed",3,17
China,2/18/2020,business resumed,3,18
China,2/19/2020,total vehicle ban,3,19
China,2/20/2020,domestic travel resumed,3,20
China,2/21/2020,"diagnostic criteria tightened, epidemic data",3,21
China,2/22/2020,"compulsory isolation, discharged patient isolation, targeted isolation",3,22
China,2/23/2020,,3,23
China,2/24/2020,,3,24
China,2/25/2020,"compulsory isolation, international traveller screening, targeted isolation",3,25
China,2/26/2020,"blanket testing, domestic traveller screening, testing",3,26
China,2/27/2020,,3,27
China,2/28/2020,,3,28
China,2/29/2020,,2,29
China,3/1/2020,,3,30
China,3/2/2020,,3,31
China,3/3/2020,,3,32
China,3/4/2020,,3,33
China,3/5/2020,,3,34
China,3/6/2020,,3,35
China,3/7/2020,,3,36
China,3/8/2020,,3,37
China,3/9/2020,,3,38
China,3/10/2020,,3,39
China,3/11/2020,,3,40
China,3/12/2020,,3,41
China,3/13/2020,,3,42
China,3/14/2020,,3,43
China,3/15/2020,,3,44
China,3/16/2020,,3,45
China,3/17/2020,,3,46
China,3/18/2020,,3,47
China,3/19/2020,,3,48
China,3/20/2020,,3,49
China,3/21/2020,,3,50
China,3/22/2020,,3,51
China,3/23/2020,,2,1
China,3/24/2020,,2,2
China,3/25/2020,,2,3
China,3/26/2020,,2,4
China,3/27/2020,,2,5
China,3/28/2020,,2,6
China,3/29/2020,,2,7
China,3/30/2020,,2,8
China,3/31/2020,,2,9
China,4/1/2020,,2,10
China,4/2/2020,,2,11
China,4/3/2020,,2,12
China,4/4/2020,,2,13
China,4/5/2020,,2,14
China,4/6/2020,,2,15
China,4/7/2020,,1,1
